i ,psi,theta,phi,x,y,z
1,0,90.000,90.000,0.000,1.000,0.000
2,0,-47.508,73.574,-0.209,0.959,0.191
3,0,174.984,66.689,0.035,0.918,-0.394
4,0,37.477,61.348,0.292,0.878,0.381
5,0,-100.031,56.797,-0.539,0.837,-0.095
6,0,122.461,52.742,0.511,0.796,-0.325
7,0,-15.047,49.034,-0.170,0.755,0.633
8,0,-152.554,45.585,-0.323,0.714,-0.621
9,0,69.938,42.335,0.694,0.673,0.254
10,0,-67.570,39.246,-0.716,0.633,0.295
11,0,154.922,36.287,0.342,0.592,-0.730
12,0,17.415,33.437,0.250,0.551,0.796
13,0,-120.093,30.677,-0.744,0.510,-0.431
14,0,102.399,27.995,0.862,0.469,-0.190
15,0,-35.109,25.377,-0.520,0.429,0.739
16,0,-172.616,22.815,-0.118,0.388,-0.914
17,0,49.876,20.300,0.717,0.347,0.604
18,0,-87.632,17.826,-0.951,0.306,0.039
19,0,134.860,15.385,0.683,0.265,-0.680
20,0,-2.648,12.973,-0.045,0.224,0.973
21,0,-140.155,10.584,-0.630,0.184,-0.755
22,0,82.337,8.213,0.981,0.143,0.132
23,0,-55.171,5.857,-0.817,0.102,0.568
24,0,167.321,3.510,0.219,0.061,-0.974
25,0,29.814,1.169,0.497,0.020,0.867
26,0,-107.694,-1.169,-0.952,-0.020,-0.304
27,0,114.798,-3.510,0.906,-0.061,-0.419
28,0,-22.710,-5.857,-0.384,-0.102,0.918
29,0,-160.217,-8.213,-0.335,-0.143,-0.931
30,0,62.275,-10.584,0.870,-0.184,0.457
31,0,-75.233,-12.973,-0.942,-0.224,0.248
32,0,147.259,-15.385,0.521,-0.265,-0.811
33,0,9.752,-17.826,0.161,-0.306,0.938
34,0,-127.756,-20.300,-0.742,-0.347,-0.574
35,0,94.736,-22.815,0.919,-0.388,-0.076
36,0,-42.772,-25.377,-0.614,-0.429,0.663
37,0,179.720,-27.995,0.004,-0.469,-0.883
38,0,42.213,-30.677,0.578,-0.510,0.637
39,0,-95.295,-33.437,-0.831,-0.551,-0.077
40,0,127.197,-36.287,0.642,-0.592,-0.487
41,0,-10.311,-39.246,-0.139,-0.633,0.762
42,0,-147.818,-42.335,-0.394,-0.673,-0.626
43,0,74.674,-45.585,0.675,-0.714,0.185
44,0,-62.834,-49.034,-0.583,-0.755,0.299
45,0,159.658,-52.742,0.210,-0.796,-0.568
46,0,22.151,-56.797,0.206,-0.837,0.507
47,0,-115.357,-61.348,-0.433,-0.878,-0.205
48,0,107.135,-66.689,0.378,-0.918,-0.117
49,0,-30.373,-73.574,-0.143,-0.959,0.244
50,0,-90.000,90.000,-0.000,-1.000,-0.000
